Fornecedor,Status Troca,Observação
ATALAIA,Verificar caso-a-caso,
AYMORE,Verificar caso-a-caso,
BELINHO,Verificar caso-a-caso,
CIDINHA,Verificar caso-a-caso,
DONDON,Verificar caso-a-caso,
ELMA CHIPS,Verificar caso-a-caso,
FINI,Verificar caso-a-caso,
FRUTTBOM,Verificar caso-a-caso,
FUGINI,Verificar caso-a-caso,
HELLMANNS,Verificar caso-a-caso,
ITAMBE,Verificar caso-a-caso,
KIBON,Verificar caso-a-caso,
LOBITS,Verificar caso-a-caso,
MAMMA DALVA,Verificar caso-a-caso,
MAMMAMIA,Verificar caso-a-caso,
MARICOTA,Verificar caso-a-caso,
MAVI,Verificar caso-a-caso,
MINAS MAIS,Verificar caso-a-caso,
NESTLE,Verificar caso-a-caso,
NINHO,Verificar caso-a-caso,
PALHA LEVE,Verificar caso-a-caso,
PERDIGAO,Verificar caso-a-caso,
PORTO ALEGRE,Verificar caso-a-caso,
PULSI,Verificar caso-a-caso,
RENATA,Verificar caso-a-caso,
SADIA,Verificar caso-a-caso,
SEARA,Verificar caso-a-caso,
TREVO,Verificar caso-a-caso,
UAI,Verificar caso-a-caso,
UNIBABY,Verificar caso-a-caso,
YPE,Verificar caso-a-caso,
